,Violon,Critère,Note,Condition,Sujet,Session
0,A,P,9.25,aveugle,Paul,1
1,A,F,9.0,aveugle,Paul,1
2,A,T,8.75,aveugle,Paul,1
3,B,P,7.5,aveugle,Paul,1
4,B,F,6.5,aveugle,Paul,1
5,B,T,8.0,aveugle,Paul,1
6,C,P,8.5,aveugle,Paul,1
7,C,F,7.5,aveugle,Paul,1
8,C,T,6.5,aveugle,Paul,1
9,A,P,6.75,non-aveugle,Paul,1
10,A,F,8.5,non-aveugle,Paul,1
11,A,T,7.5,non-aveugle,Paul,1
12,C,P,8.75,non-aveugle,Paul,1
13,C,F,7.0,non-aveugle,Paul,1
14,C,T,8.0,non-aveugle,Paul,1
15,A,P,7.5,aveugle,Renato,1
16,A,F,8.0,aveugle,Renato,1
17,A,T,7.25,aveugle,Renato,1
18,B,P,8.0,aveugle,Renato,1
19,B,F,8.0,aveugle,Renato,1
20,B,T,8.0,aveugle,Renato,1
21,C,P,7.0,aveugle,Renato,1
22,C,F,6.75,aveugle,Renato,1
23,C,T,6.75,aveugle,Renato,1
24,A,P,6.75,non-aveugle,Renato,1
25,A,F,7.5,non-aveugle,Renato,1
26,A,T,7.0,non-aveugle,Renato,1
27,C,P,7.75,non-aveugle,Renato,1
28,C,F,8.75,non-aveugle,Renato,1
29,C,T,7.0,non-aveugle,Renato,1
30,A,P,8.0,aveugle,Areski,1
31,A,F,9.0,aveugle,Areski,1
32,A,T,8.0,aveugle,Areski,1
33,B,P,8.5,aveugle,Areski,1
34,B,F,10.0,aveugle,Areski,1
35,B,T,8.5,aveugle,Areski,1
36,C,P,6.5,aveugle,Areski,1
37,C,F,7.5,aveugle,Areski,1
38,C,T,7.0,aveugle,Areski,1
39,A,P,8.5,non-aveugle,Areski,1
40,A,F,9.0,non-aveugle,Areski,1
41,A,T,8.0,non-aveugle,Areski,1
42,C,P,6.5,non-aveugle,Areski,1
43,C,F,8.0,non-aveugle,Areski,1
44,C,T,6.0,non-aveugle,Areski,1
45,A,P,9.0,aveugle,Félix,1
46,A,F,8.0,aveugle,Félix,1
47,A,T,7.0,aveugle,Félix,1
48,B,P,6.0,aveugle,Félix,1
49,B,F,7.0,aveugle,Félix,1
50,B,T,8.0,aveugle,Félix,1
51,C,P,7.0,aveugle,Félix,1
52,C,F,9.0,aveugle,Félix,1
53,C,T,7.0,aveugle,Félix,1
54,A,P,7.5,non-aveugle,Félix,1
55,A,F,9.0,non-aveugle,Félix,1
56,A,T,9.0,non-aveugle,Félix,1
57,C,P,6.0,non-aveugle,Félix,1
58,C,F,9.0,non-aveugle,Félix,1
59,C,T,7.5,non-aveugle,Félix,1
60,A,P,7.0,aveugle,Céleste,1
61,A,F,7.0,aveugle,Céleste,1
62,A,T,7.0,aveugle,Céleste,1
63,B,P,8.0,aveugle,Céleste,1
64,B,F,7.0,aveugle,Céleste,1
65,B,T,8.0,aveugle,Céleste,1
66,C,P,7.0,aveugle,Céleste,1
67,C,F,8.0,aveugle,Céleste,1
68,C,T,8.0,aveugle,Céleste,1
69,A,P,8.0,non-aveugle,Céleste,1
70,A,F,6.0,non-aveugle,Céleste,1
71,A,T,6.0,non-aveugle,Céleste,1
72,C,P,7.0,non-aveugle,Céleste,1
73,C,F,8.0,non-aveugle,Céleste,1
74,C,T,8.0,non-aveugle,Céleste,1
75,A,P,8.0,aveugle,SMD,1
76,A,F,8.0,aveugle,SMD,1
77,A,T,8.0,aveugle,SMD,1
78,B,P,7.0,aveugle,SMD,1
79,B,F,8.0,aveugle,SMD,1
80,B,T,7.0,aveugle,SMD,1
81,C,P,8.0,aveugle,SMD,1
82,C,F,7.0,aveugle,SMD,1
83,C,T,7.0,aveugle,SMD,1
84,A,P,8.0,non-aveugle,SMD,1
85,A,F,8.0,non-aveugle,SMD,1
86,A,T,7.0,non-aveugle,SMD,1
87,C,P,7.0,non-aveugle,SMD,1
88,C,F,8.0,non-aveugle,SMD,1
89,C,T,8.0,non-aveugle,SMD,1
90,A,P,8.0,aveugle,Hélène,1
91,A,F,7.0,aveugle,Hélène,1
92,A,T,6.0,aveugle,Hélène,1
93,B,P,6.0,aveugle,Hélène,1
94,B,F,9.0,aveugle,Hélène,1
95,B,T,8.0,aveugle,Hélène,1
96,C,P,7.0,aveugle,Hélène,1
97,C,F,5.0,aveugle,Hélène,1
98,C,T,7.0,aveugle,Hélène,1
99,A,P,8.0,non-aveugle,Hélène,1
100,A,F,7.0,non-aveugle,Hélène,1
101,A,T,6.0,non-aveugle,Hélène,1
102,C,P,7.0,non-aveugle,Hélène,1
103,C,F,8.0,non-aveugle,Hélène,1
104,C,T,9.0,non-aveugle,Hélène,1
105,A,P,8.0,aveugle,Clara,1
106,A,F,8.0,aveugle,Clara,1
107,A,T,6.0,aveugle,Clara,1
108,B,P,6.0,aveugle,Clara,1
109,B,F,9.0,aveugle,Clara,1
110,B,T,7.0,aveugle,Clara,1
111,C,P,8.0,aveugle,Clara,1
112,C,F,10.0,aveugle,Clara,1
113,C,T,9.0,aveugle,Clara,1
114,A,P,8.0,non-aveugle,Clara,1
115,A,F,9.0,non-aveugle,Clara,1
116,A,T,8.0,non-aveugle,Clara,1
117,C,P,9.0,non-aveugle,Clara,1
118,C,F,8.0,non-aveugle,Clara,1
119,C,T,6.0,non-aveugle,Clara,1
120,A,P,8.0,aveugle,Norimi,1
121,A,F,9.0,aveugle,Norimi,1
122,A,T,5.0,aveugle,Norimi,1
123,B,P,7.0,aveugle,Norimi,1
124,B,F,8.0,aveugle,Norimi,1
125,B,T,8.0,aveugle,Norimi,1
126,C,P,8.0,aveugle,Norimi,1
127,C,F,7.0,aveugle,Norimi,1
128,C,T,9.0,aveugle,Norimi,1
129,A,P,7.0,non-aveugle,Norimi,1
130,A,F,8.0,non-aveugle,Norimi,1
131,A,T,6.0,non-aveugle,Norimi,1
132,C,P,8.0,non-aveugle,Norimi,1
133,C,F,7.0,non-aveugle,Norimi,1
134,C,T,9.0,non-aveugle,Norimi,1
135,A,P,8.0,aveugle,Fanton,1
136,A,F,7.0,aveugle,Fanton,1
137,A,T,6.5,aveugle,Fanton,1
138,B,P,7.0,aveugle,Fanton,1
139,B,F,7.0,aveugle,Fanton,1
140,B,T,7.0,aveugle,Fanton,1
141,C,P,8.5,aveugle,Fanton,1
142,C,F,9.0,aveugle,Fanton,1
143,C,T,7.0,aveugle,Fanton,1
144,A,P,6.5,non-aveugle,Fanton,1
145,A,F,6.0,non-aveugle,Fanton,1
146,A,T,6.0,non-aveugle,Fanton,1
147,C,P,8.0,non-aveugle,Fanton,1
148,C,F,8.0,non-aveugle,Fanton,1
149,C,T,7.0,non-aveugle,Fanton,1
150,A,P,7.0,aveugle,Lucie,1
151,A,F,7.0,aveugle,Lucie,1
152,A,T,7.0,aveugle,Lucie,1
153,B,P,7.0,aveugle,Lucie,1
154,B,F,5.0,aveugle,Lucie,1
155,B,T,4.0,aveugle,Lucie,1
156,C,P,6.0,aveugle,Lucie,1
157,C,F,8.0,aveugle,Lucie,1
158,C,T,7.0,aveugle,Lucie,1
159,A,P,6.0,non-aveugle,Lucie,1
160,A,F,4.0,non-aveugle,Lucie,1
161,A,T,4.0,non-aveugle,Lucie,1
162,C,P,7.0,non-aveugle,Lucie,1
163,C,F,8.0,non-aveugle,Lucie,1
164,C,T,6.0,non-aveugle,Lucie,1
165,A,P,9.0,aveugle,Eugénie,1
166,A,F,6.0,aveugle,Eugénie,1
167,A,T,6.0,aveugle,Eugénie,1
168,B,P,8.0,aveugle,Eugénie,1
169,B,F,8.0,aveugle,Eugénie,1
170,B,T,9.0,aveugle,Eugénie,1
171,C,P,7.0,aveugle,Eugénie,1
172,C,F,8.0,aveugle,Eugénie,1
173,C,T,9.0,aveugle,Eugénie,1
174,A,P,9.0,non-aveugle,Eugénie,1
175,A,F,8.0,non-aveugle,Eugénie,1
176,A,T,7.0,non-aveugle,Eugénie,1
177,C,P,7.0,non-aveugle,Eugénie,1
178,C,F,7.0,non-aveugle,Eugénie,1
179,C,T,6.0,non-aveugle,Eugénie,1
